contestId,index,name,rating,tags,solvedCount,vector
1409.0,F,Subsequences of Length Two,2100.0,dp strings,1716.0,dp strings 2100.0
1409.0,E,Two Platforms,1800.0,dp sortings two pointers,3317.0,dp sortings two pointers 1800.0
1409.0,D,Decrease the Sum of Digits,1500.0,greedy math,7898.0,greedy math 1500.0
1409.0,C,Yet Another Array Restoration,1200.0,brute force math number theory,11662.0,brute force math number theory 1200.0
1409.0,B,Minimum Product,1100.0,brute force greedy math,13988.0,brute force greedy math 1100.0
1409.0,A,Yet Another Two Integers Problem,800.0,math,20900.0,math 800.0
1405.0,B,Array Cancellation,,constructive algorithms,10207.0,constructive algorithms nan
1405.0,A,Permutation Forgery,,constructive algorithms,12913.0,constructive algorithms nan
1404.0,E,Bricks,,flows graph matchings graphs,147.0,flows graph matchings graphs nan
1404.0,D,Game of Pairs,,constructive algorithms dfs and similar interactive math number theory,197.0,constructive algorithms dfs and similar interactive math number theory nan
1404.0,C,Fixed Point Removal,,binary search data structures greedy,810.0,binary search data structures greedy nan
1404.0,B,Tree Tag,,dfs and similar dp games trees,2886.0,dfs and similar dp games trees nan
1404.0,A,Balanced Bitstring,,implementation strings,6429.0,implementation strings nan
1403.0,C,Chess Rush,3200.0,*special combinatorics dp implementation math,20.0,*special combinatorics dp implementation math 3200.0
1403.0,B,Spring cleaning,2300.0,*special data structures dfs and similar graphs trees,186.0,*special data structures dfs and similar graphs trees 2300.0
1403.0,A,The Potion of Great Power,2400.0,*special 2-sat binary search data structures graphs interactive sortings two pointers,169.0,*special 2-sat binary search data structures graphs interactive sortings two pointers 2400.0
1402.0,C,Star Trek,2600.0,*special combinatorics dfs and similar dp games graphs matrices trees,100.0,*special combinatorics dfs and similar dp games graphs matrices trees 2600.0
1402.0,B,Roads,2900.0,*special geometry sortings,50.0,*special geometry sortings 2900.0
1402.0,A,Fancy Fence,1800.0,*special data structures dsu implementation math sortings,577.0,*special data structures dsu implementation math sortings 1800.0
1401.0,F,Reverse and Swap,2400.0,binary search bitmasks data structures,804.0,binary search bitmasks data structures 2400.0
1401.0,E,Divide Square,2400.0,data structures geometry implementation sortings,1302.0,data structures geometry implementation sortings 2400.0
1401.0,D,Maximum Distributed Tree,1800.0,dfs and similar dp greedy implementation math number theory sortings trees,5235.0,dfs and similar dp greedy implementation math number theory sortings trees 1800.0
1401.0,C,Mere Array,1300.0,constructive algorithms math number theory sortings,13009.0,constructive algorithms math number theory sortings 1300.0
1401.0,B,Ternary Sequence,1100.0,constructive algorithms greedy math,14637.0,constructive algorithms greedy math 1100.0
1401.0,A,Distance and Axis,900.0,constructive algorithms math,17388.0,constructive algorithms math 900.0
1400.0,G,Mercenaries,2600.0,bitmasks brute force combinatorics dp dsu math two pointers,403.0,bitmasks brute force combinatorics dp dsu math two pointers 2600.0
1400.0,F,x-prime Substrings,2800.0,brute force dfs and similar dp string suffix structures strings,263.0,brute force dfs and similar dp string suffix structures strings 2800.0
1400.0,E,Clear the Multiset,2200.0,data structures divide and conquer dp greedy,2724.0,data structures divide and conquer dp greedy 2200.0
1400.0,D,Zigzags,1900.0,brute force combinatorics data structures math two pointers,5528.0,brute force combinatorics data structures math two pointers 1900.0
1400.0,C,Binary String Reconstruction,1500.0,2-sat brute force constructive algorithms greedy,10116.0,2-sat brute force constructive algorithms greedy 1500.0
1400.0,B,RPG Protagonist,1700.0,brute force greedy math,7120.0,brute force greedy math 1700.0
1400.0,A,String Similarity,800.0,constructive algorithms strings,18351.0,constructive algorithms strings 800.0
1399.0,F,Yet Another Segments Subset,2300.0,data structures dp graphs sortings,823.0,data structures dp graphs sortings 2300.0
1399.0,E2,Weights Division (hard version),2200.0,binary search dfs and similar greedy sortings trees two pointers,1354.0,binary search dfs and similar greedy sortings trees two pointers 2200.0
1399.0,E1,Weights Division (easy version),2000.0,data structures dfs and similar greedy trees,3680.0,data structures dfs and similar greedy trees 2000.0
1399.0,D,Binary String To Subsequences,1500.0,constructive algorithms data structures greedy implementation,10245.0,constructive algorithms data structures greedy implementation 1500.0
1399.0,C,Boats Competition,1200.0,brute force greedy two pointers,15688.0,brute force greedy two pointers 1200.0
1399.0,B,Gifts Fixing,800.0,greedy,23519.0,greedy 800.0
1399.0,A,Remove Smallest,800.0,greedy sortings,25771.0,greedy sortings 800.0
1398.0,G,Running Competition,2600.0,bitmasks fft math number theory,341.0,bitmasks fft math number theory 2600.0
1398.0,F,Controversial Rounds,2500.0,binary search data structures dp greedy two pointers,606.0,binary search data structures dp greedy two pointers 2500.0
1398.0,E,Two Types of Spells,2200.0,binary search data structures greedy implementation math sortings,1436.0,binary search data structures greedy implementation math sortings 2200.0
1398.0,D,Colored Rectangles,1800.0,dp greedy sortings,6592.0,dp greedy sortings 1800.0
1398.0,C,Good Subarrays,1600.0,data structures dp math,9795.0,data structures dp math 1600.0
1398.0,B,Substring Removal Game,800.0,games greedy sortings,17303.0,games greedy sortings 800.0
1398.0,A,Bad Triangle,800.0,geometry math,18601.0,geometry math 800.0
1397.0,B,Power Sequence,1500.0,brute force math number theory sortings,8633.0,brute force math number theory sortings 1500.0
1397.0,A,Juggling Letters,800.0,greedy strings,17672.0,greedy strings 800.0
1396.0,E,Distance Matching,3200.0,constructive algorithms dfs and similar trees,100.0,constructive algorithms dfs and similar trees 3200.0
1396.0,D,Rainbow Rectangles,3300.0,data structures sortings two pointers,95.0,data structures sortings two pointers 3300.0
1396.0,C,Monster Invaders,2300.0,dp greedy implementation,1382.0,dp greedy implementation 2300.0
1396.0,B,Stoned Game,1800.0,brute force constructive algorithms games greedy,5982.0,brute force constructive algorithms games greedy 1800.0
1396.0,A,Multiples of Length,1600.0,constructive algorithms greedy number theory,8191.0,constructive algorithms greedy number theory 1600.0
